SRR_number,DA_number
SRR30883762,DA62938
SRR30883772,DA63384
SRR30883775,DA63380
SRR30883777,DA63278
SRR30883779,DA63274
SRR30883782,DA63270
SRR30883783,DA63268
SRR30883784,DA63266
SRR30883787,DA63260
SRR30883790,DA63254
SRR30883791,DA63252
SRR30883793,DA63158
SRR30883794,DA63156
SRR30883796,DA63152
SRR30883797,DA63150
SRR30883800,DA63146
SRR30883803,DA63140
SRR30883805,DA63136
SRR30883807,DA63130
SRR30883813,DA63000
SRR30883815,DA62996
SRR30883816,DA62994
SRR30883819,DA62990
SRR30883823,DA64060
SRR30883826,DA63968
SRR30883828,DA63964
SRR30883830,DA63960
SRR30883833,DA63956
SRR30883834,DA63954
SRR30883836,DA63950
SRR30883837,DA63948
SRR30883838,DA63858
SRR30883839,DA63856
SRR30883840,DA62966
SRR30883843,DA63850
SRR30883844,DA63848
SRR30883845,DA63846
SRR30883847,DA63842
SRR30883851,DA62964
SRR30883852,DA63834
SRR30883857,DA63732
SRR30883859,DA63730
SRR30883860,DA63728
SRR30883862,DA63724
SRR30883867,DA63714
SRR30883868,DA63712
SRR30883872,DA63616
SRR30883878,DA63606
SRR30883885,DA63590
SRR30883887,DA63314
SRR30883888,DA63312
SRR30883889,DA63306
SRR30883892,DA63300
SRR30883893,DA63298
SRR30883894,DA63296
SRR30883899,DA63288
SRR30883901,DA63284
SRR30883903,DA62914
SRR30883905,DA63184
SRR30883906,DA63182
SRR30883908,DA63178
SRR30883909,DA63176
SRR30883917,DA63162
SRR30883921,DA63124
SRR30883923,DA63118
SRR30883927,DA63110
SRR30883928,DA63108
SRR30883929,DA63106
SRR30883930,DA63104
SRR30883931,DA62906
SRR30883936,DA63066
SRR30883937,DA63064
SRR30883938,DA63062
SRR30883939,DA63060
SRR30883940,DA63058
SRR30883941,DA63056
SRR30883943,DA62902
SRR30883944,DA63052
SRR30883945,DA63050
SRR30883947,DA63046
SRR30883949,DA63042
SRR30883950,DA64030
SRR30883952,DA64026
SRR30883957,DA62982
SRR30883960,DA64012
SRR30883962,DA64008
SRR30883964,DA64004
SRR30883968,DA63914
SRR30883971,DA63908
SRR30883974,DA63902
SRR30883977,DA63896
SRR30883982,DA63800
SRR30883983,DA63798
SRR30883984,DA63796
SRR30883987,DA63792
SRR30883991,DA63782
SRR30883995,DA63774
SRR30883996,DA62958
SRR30883998,DA63680
SRR30884003,DA63668
SRR30884006,DA63664
SRR30884008,DA63660
SRR30884010,DA63656
SRR30884011,DA63654
SRR30884013,DA63650
SRR30884017,DA63372
SRR30884018,DA63370
SRR30884025,DA63358
SRR30884026,DA63356
SRR30884032,DA63248
SRR30884033,DA63246
SRR30884034,DA63244
SRR30884035,DA63242
SRR30884040,DA63232
SRR30884044,DA63226
SRR30884046,DA63040
SRR30884052,DA63030
SRR30884057,DA63020
SRR30884059,DA63014
SRR30884061,DA62898
SRR30884062,DA64000
SRR30884064,DA62980
SRR30884069,DA63988
SRR30884071,DA63984
SRR30884073,DA63980
SRR30884075,DA62978
SRR30884077,DA63974
SRR30884079,DA63886
SRR30884081,DA63882
SRR30884084,DA63876
SRR30884085,DA62968
SRR30884087,DA63872
SRR30884088,DA63870
SRR30884092,DA63862
SRR30884095,DA63766
SRR30884096,DA63764
SRR30884098,DA63760
SRR30884100,DA63756
SRR30884101,DA63754
SRR30884106,DA63746
SRR30884107,DA63744
SRR30884111,DA62946
SRR30884115,DA63640
SRR30884117,DA63636
SRR30884118,DA63634
SRR30884119,DA63632
SRR30884120,DA63630
SRR30884127,DA63344
SRR30884128,DA63342
SRR30884130,DA63338
SRR30884131,DA63336
SRR30884132,DA63334
SRR30884133,DA63330
SRR30884135,DA63326
SRR30884137,DA63322
SRR30884143,DA63220
SRR30884144,DA63218
SRR30884148,DA62916
SRR30884153,DA63198
SRR30884154,DA63196
SRR30884161,DA63094
SRR30884162,DA63092
SRR30884166,DA63080
SRR30884170,DA64058
SRR30884174,DA64052
SRR30884176,DA64048
SRR30884177,DA64046
SRR30884178,DA64044
SRR30884181,DA64038
SRR30884186,DA63946
SRR30884189,DA63938
SRR30884192,DA63934
SRR30884194,DA63930
SRR30884196,DA63926
SRR30884199,DA63920
SRR30884203,DA63828
SRR30884213,DA63810
SRR30884219,DA63710
SRR30884222,DA63704
SRR30884224,DA63700
SRR30884226,DA63696
SRR30884227,DA63694
SRR30883764,DA63582
SRR30883765,DA63580
SRR30883766,DA63578
SRR30883774,DA63382
SRR30883778,DA63276
SRR30883789,DA63256
SRR30883795,DA63154
SRR30883798,DA63148
SRR30883810,DA63006
SRR30883811,DA63004
SRR30883817,DA62992
SRR30883824,DA63972
SRR30883832,DA62976
SRR30883841,DA63854
SRR30883842,DA63852
SRR30883846,DA63844
SRR30883858,DA62954
SRR30883875,DA63610
SRR30883880,DA63600
SRR30883890,DA63304
SRR30883891,DA63302
SRR30883898,DA63290
SRR30883934,DA63072
SRR30883935,DA63068
SRR30883946,DA63048
SRR30883948,DA63044
SRR30883958,DA64016
SRR30883965,DA64002
SRR30883969,DA63912
SRR30883980,DA63892
SRR30883986,DA63794
SRR30883990,DA63784
SRR30884001,DA63672
SRR30884004,DA62948
SRR30884007,DA63662
SRR30884012,DA63652
SRR30884015,DA63376
SRR30884016,DA63374
SRR30884029,DA63350
SRR30884031,DA63250
SRR30884036,DA63240
SRR30884038,DA63236
SRR30884042,DA63230
SRR30884043,DA63228
SRR30884049,DA63034
SRR30884074,DA63978
SRR30884082,DA63880
SRR30884093,DA63860
SRR30884103,DA62956
SRR30884104,DA63750
SRR30884105,DA63748
SRR30884109,DA63740
SRR30884142,DA63222
SRR30884145,DA63216
SRR30884146,DA63214
SRR30884150,DA63204
SRR30884157,DA63190
SRR30884158,DA63102
SRR30884167,DA63078
SRR30884173,DA64054
SRR30884180,DA64040
SRR30884187,DA63942
SRR30884188,DA63940
SRR30884193,DA63932
SRR30884197,DA63924
SRR30884202,DA63830
SRR30883763,DA63584
SRR30883767,DA63576
SRR30883768,DA63574
SRR30883769,DA63572
SRR30883770,DA63570
SRR30883771,DA63568
SRR30883773,DA62936
SRR30883776,DA63282
SRR30883780,DA63272
SRR30883781,DA62924
SRR30883785,DA63264
SRR30883786,DA63262
SRR30883788,DA63258
SRR30883792,DA63160
SRR30883799,DA62910
SRR30883801,DA63144
SRR30883802,DA63142
SRR30883804,DA63138
SRR30883806,DA63134
SRR30883808,DA63010
SRR30883809,DA63008
SRR30883812,DA63002
SRR30883814,DA62998
SRR30883818,DA62896
SRR30883820,DA62988
SRR30883821,DA64066
SRR30883822,DA64062
SRR30883825,DA63970
SRR30883827,DA63966
SRR30883829,DA63962
SRR30883831,DA63958
SRR30883835,DA63952
SRR30883848,DA63840
SRR30883849,DA63838
SRR30883850,DA63836
SRR30883853,DA63832
SRR30883854,DA63738
SRR30883855,DA63736
SRR30883856,DA63734
SRR30883861,DA63726
SRR30883863,DA63722
SRR30883864,DA63720
SRR30883865,DA63718
SRR30883866,DA63716
SRR30883869,DA62952
SRR30883870,DA63620
SRR30883871,DA63618
SRR30883873,DA63614
SRR30883874,DA63612
SRR30883876,DA63608
SRR30883877,DA62942
SRR30883879,DA63602
SRR30883881,DA63598
SRR30883882,DA63596
SRR30883883,DA63594
SRR30883884,DA63592
SRR30883886,DA63316
SRR30883895,DA63294
SRR30883896,DA62926
SRR30883897,DA63292
SRR30883900,DA63286
SRR30883902,DA63188
SRR30883904,DA63186
SRR30883907,DA63180
SRR30883910,DA63174
SRR30883911,DA63172
SRR30883912,DA63170
SRR30883913,DA63168
SRR30883914,DA62912
SRR30883915,DA63166
SRR30883916,DA63164
SRR30883918,DA63128
SRR30883919,DA63126
SRR30883920,DA62908
SRR30883922,DA63122
SRR30883924,DA63116
SRR30883925,DA63114
SRR30883926,DA63112
SRR30883932,DA62888
SRR30883933,DA62886
SRR30883942,DA63054
SRR30883951,DA64028
SRR30883953,DA64024
SRR30883954,DA64022
SRR30883955,DA64020
SRR30883956,DA64018
SRR30883959,DA64014
SRR30883961,DA64010
SRR30883963,DA64006
SRR30883966,DA62972
SRR30883967,DA62894
SRR30883970,DA63910
SRR30883972,DA63906
SRR30883973,DA63904
SRR30883975,DA63900
SRR30883976,DA63898
SRR30883978,DA62970
SRR30883979,DA63894
SRR30883981,DA63890
SRR30883985,DA62960
SRR30883988,DA63790
SRR30883989,DA63786
SRR30883992,DA63780
SRR30883993,DA63778
SRR30883994,DA63776
SRR30883997,DA63772
SRR30883999,DA63678
SRR30884000,DA63674
SRR30884002,DA63670
SRR30884005,DA63666
SRR30884009,DA63658
SRR30884014,DA63378
SRR30884019,DA63368
SRR30884020,DA63366
SRR30884021,DA63364
SRR30884022,DA62934
SRR30884023,DA63362
SRR30884024,DA63360
SRR30884027,DA63354
SRR30884028,DA63352
SRR30884030,DA62920
SRR30884037,DA63238
SRR30884039,DA63234
SRR30884041,DA62918
SRR30884045,DA63224
SRR30884047,DA63038
SRR30884048,DA63036
SRR30884050,DA62900
SRR30884051,DA63032
SRR30884053,DA63028
SRR30884054,DA63026
SRR30884055,DA63024
SRR30884056,DA63022
SRR30884058,DA63016
SRR30884060,DA63012
SRR30884063,DA63998
SRR30884065,DA63996
SRR30884066,DA63994
SRR30884067,DA63992
SRR30884068,DA63990
SRR30884070,DA63986
SRR30884072,DA63982
SRR30884076,DA63976
SRR30884078,DA63888
SRR30884080,DA63884
SRR30884083,DA63878
SRR30884086,DA63874
SRR30884089,DA63868
SRR30884090,DA63866
SRR30884091,DA63864
SRR30884094,DA63770
SRR30884097,DA63762
SRR30884099,DA63758
SRR30884102,DA63752
SRR30884108,DA63742
SRR30884110,DA63648
SRR30884112,DA63646
SRR30884113,DA63644
SRR30884114,DA63642
SRR30884116,DA63638
SRR30884121,DA63628
SRR30884122,DA62944
SRR30884123,DA63626
SRR30884124,DA63624
SRR30884125,DA63622
SRR30884126,DA63348
SRR30884129,DA62932
SRR30884134,DA63328
SRR30884136,DA63324
SRR30884138,DA63320
SRR30884139,DA63318
SRR30884140,DA62928
SRR30884141,DA62890
SRR30884147,DA63212
SRR30884149,DA63210
SRR30884151,DA63202
SRR30884152,DA63200
SRR30884155,DA63194
SRR30884156,DA63192
SRR30884159,DA63100
SRR30884160,DA63096
SRR30884163,DA63090
SRR30884164,DA63088
SRR30884165,DA63082
SRR30884168,DA62904
SRR30884169,DA63074
SRR30884171,DA62986
SRR30884172,DA64056
SRR30884175,DA64050
SRR30884179,DA64042
SRR30884182,DA62984
SRR30884183,DA64036
SRR30884184,DA64034
SRR30884185,DA64032
SRR30884190,DA63936
SRR30884191,DA62974
SRR30884195,DA63928
SRR30884198,DA63922
SRR30884200,DA63918
SRR30884201,DA63916
SRR30884204,DA63826
SRR30884205,DA63824
SRR30884206,DA63822
SRR30884207,DA63820
SRR30884208,DA63818
SRR30884209,DA63816
SRR30884210,DA62962
SRR30884211,DA63814
SRR30884212,DA63812
SRR30884214,DA63808
SRR30884215,DA63806
SRR30884216,DA63804
SRR30884217,DA63802
SRR30884218,DA62892
SRR30884220,DA63708
SRR30884221,DA63706
SRR30884223,DA63702
SRR30884225,DA63698
SRR30884228,DA63692
SRR30884229,DA62950
SRR30884230,DA63690
SRR30884231,DA63686
SRR30884232,DA63684
SRR30884233,DA63682
SRR30884234,DA63588
SRR30884235,DA63586
