Model,Preprocessing,mean_AUC,AUC_SE,mean_j_index,j_index_SE,Correlation,n_predictors
LR,BASE,0.8969964157706093,0.00642654021242757,0.575247311827957,0.018148105431347893,NA,47
LR,BASE_yj,0.9121367127496159,0.00572356985200295,0.5929001536098311,0.01754590676411405,NA,43
LR,BASE_orq,0.9105258576548899,0.005472976582776559,0.5985453149001536,0.016418011119575894,NA,46
LR,PCA,0.8595192012288787,0.0071798031099827,0.5564316436251919,0.018445034985129373,NA,1
lSVM,NCORR,0.8915673323092678,0.005934090931653326,0.6249493087557604,0.017233973412862216,0.9652767973175893,90
lSVM,NCORR_YJ,0.8916561699948797,0.005858029445612951,0.5971551459293395,0.01770832213542838,0.9749315914775555,89
lSVM,NCORRORQ,0.8970460829493088,0.0056400844926461705,0.6210660522273426,0.016629145222358116,0.7394438605677958,55
lSVM,PCA,0.8603061955965182,0.00722606443736154,0.5725852534562211,0.017211209145980982,NA,2
pSVM,NCORR,0.9013056835637481,0.005632010147948256,0.6633671274961598,0.015437398794514312,0.8719313822065791,80
pSVM,NCORR_YJ,0.8953320532514081,0.006020972843541793,0.6635468509984639,0.016102198288840748,0.8719313822065791,74
pSVM,NCORRORQ,0.901831797235023,0.005114983548831172,0.6439569892473118,0.015876113101822832,0.8719313822065791,76
pSVM,PCA,0.8697291346646185,0.0062503091758174785,0.5665714285714285,0.01783442069413333,NA,3
rbfSVM,NCORR,0.8767959549411163,0.007447584246086348,0.6126036866359447,0.016083202851970273,0.6443757111517091,53
rbfSVM,NCORR_YJ,0.875857654889913,0.006906531253981598,0.5675084485407066,0.018104768594019636,0.6443757111517091,44
rbfSVM,NCORRORQ,0.8916098310291859,0.00672681317236451,0.6076098310291859,0.017076668604726515,0.6443757111517091,47
rbfSVM,PCA,0.8713282130056323,0.006130866501741246,0.5929385560675883,0.0184021951537425,NA,2
MLP_nnet,NCORR,0.9078637992831541,0.005674070769870449,0.5903425499231951,0.01866724725856404,0.789507124472099,68
MLP_nnet,NCORR_YJ,0.9078305171530978,0.0048441577441564534,0.60272043010752685,0.01641394549201748,0.789507124472099,61
MLP_nnet,NCORRORQ,0.9065430107526882,0.00528747567054584,0.6300092165898618,0.017040304078131906,0.789507124472099,63
MLP_nnet,PCA,0.8760784690220175,0.007747105904677178,0.6246958525345622,0.018742395756171266,NA,3
BAG_MLP,NCORR,0.9122598566308244,0.005888625206507518,0.5992718894009217,0.01822907183935706,0.8613518728486572,80
BAG_MLP,NCORR_YJ,0.9184141065028162,0.004979440614239815,0.6139523809523809,0.018072479203436922,0.9591108028621723,87
BAG_MLP,NCORRORQ,0.916110087045571,0.005387481265213361,0.6401029185867896,0.015354266597069377,0.7544066646369174,57
BAG_MLP,PCA,0.9033832565284178,0.005981864606919822,0.6821720430107527,0.015769450525710913,NA,3
RF,BASE,0.902494879672299,0.005421257928424608,0.512221198156682,0.01976523239564005,NA,91
RF,BASE_BORUTA,0.9014912954429084,0.005649309354236784,0.5128663594470046,0.020337085540956572,NA,89
BT,BASE,0.9050440348182284,0.005759246265534017,0.47221351766513053,0.021150750976094337,NA,91
BT_bres,BASE,0.9151280081925244,0.00534861925313156,NA,NA,NA,91
BT,BASE_BORUTA,0.9061589861751153,0.005088358843360624,0.4824254992319508,0.01774680400975392,NA,89
