Model,Preprocessin,mean_AUC,st_error,mean_j_index,Correlation,n_predictors
LR,MAIN,0.8908765360983103,0.006730349054787153,0.612865783410138,NA,41
LR,NCORR,0.8973847926267281,0.006554712464961541,0.611555779569892,0.768769392138347,34
LR,NCORQ,0.8985599078341013,0.005667563791789571,0.629355318740399,0.6706201896459485,22
LR,PCA_YJ,0.8417401113671275,0.007473208906608822,0.556034466205837,NA,82
LR, NCORR_YJ ,0.893224846390169,0.006130660206367511,0.639133544546851,0.916237986413762,18
Ridge_LR,NCORR_YJ ,0.8997777457757297,0.005737885088682829,0.654697100614439,0.8710820743930526,70
EL_LR, NCORR_YJ ,0.8962231182795699,0.005761136632464274,0.666719950076805,0.9447534659528174,36
MARS,NCORR,0.8485587077572965,0.008126850529455266,0.510132968509985,0.9447534659528174,97
MARS,NCORR_YJ,0.8408285330261137,0.00911456034832343,0.516683467741936,0.9447534659528174,84
MARS,NCORQ,0.8437485599078342,0.0074633441825601955,0.57752928187404,0.8998216830970098,87
MARS,NCORR_YJ_RFE,0.8617223502304148,0.006772387772995389,0.568242607526882,0.4226231545365105,3
MARS_Bagged,NCORR_YJ_RFE,0.8697571044546851,0.006350256543280033,0.608446620583717,0.5303599742396424,4
lSVM,NCORR,0.8981605222734255,0.00562851190503365,0.662335829493088,0.5983601917900766,50
lSVM,NCORR_YJ,0.8910267857142857,0.005886691829529693,0.711839477726575,0.957549508769686,86
lSVM,NCORQ,0.8988239247311828,0.0053389272772647175,0.699186347926267,0.5983601917900766,39
lSVM,NCORR_YJ_RFE,0.8732406874039939,0.006786533305874384,0.660931259600614,0.8967726732060934,8
pSVM,NCORR,0.8965509792626728,0.005572295688132283,0.664336117511521,0.03515347182595482,2
pSVM,NCORQ,0.8983333333333333,0.005671379297595408,0.685809811827957,0.5860753481043502,39
pSVM,NCORR_YJ,0.8909711021505377,0.006744966466786857,0.661899961597542,0.9704835511666412,89
pSVM,PCA_YJ,0.8453739439324117,0.007410366629027767,0.584497887864823,NA,4
lSVM,NCORR_YJ_RFE,0.8705393145161291,0.006773622886020859,0.654781586021505,0.9363115392780552,9
rbfSVM,MAIN,0.8950355222734255,0.0061251730419183015,0.660406586021505,NA,101
rbfSVM,NCORR,0.8779094662058372,0.006454204752521396,0.610337461597542,0.4150084659534817,34
rbfSVM,NCORQ,0.8754593894009217,0.006427221197651904,0.373073156682028,0.22877962271062036,11
rbfSVM,NCORR_YJ,0.8721183755760369,0.006017815161892865,0.631307603686636,0.4150084659534817,28
rbfSVM,NCORR_YJ_RFE,0.8600600038402458,0.0074601630897903615,0.647690092165899,0.22877962271062036,1
KNN,NCORR,0.8547079013056835,0.007423897029903465,0.560793010752688,0.9704835511666412,98
KNN,NCORQ,0.8667998751920123,0.006683330779002558,0.534595334101382,0.9704835511666412,98
KNN,NCORR_YJ,0.8662768817204302,0.006759422051479837,0.571098310291859,0.9704835511666412,89
KNN,NCORR_YJ_RFE,0.8808602150537634,0.006226549627511605,0.617416474654378,0.9363115392780552,9
RF,MAIN,0.895383544546851,0.00588442981253755,0.506557219662058,NA,101
RF,NCORR,0.8946265360983103,0.005501616794619644,0.477588325652842,0.6366051374818198,52
RF,NCORR_YJ,0.8979622695852535,0.005848384718202034,0.510042722734255,0.9465406919674327,84
RF,MAIN_RFE,0.88183107718894,0.005824786466896696,0.534552611367128,NA,11
RF,MAIN_Boruta,0.8978499423963133,0.005132260039103083,0.500126248079877,NA,101
BT,MAIN,0.895383544546851,0.00588442981253755,0.506557219662058,NA,101
BT,NCORR_WL,0.8753259408602151,0.006341866090327583,0.475811731950845,NA,101
BT,NCORR,0.8879229070660523,0.00604359614032747,NA,0.8807929932611529,91
BT,MAIN_RFE,0.8881739631336406,0.005900207224657178,NA,NA,11
BT,MAIN_Boruta,0.890780049923195,0.006100832828151595,NA,NA,101
BT,MAIN_YJ_Boruta,0.8950590437788019,0.004964782770041318,NA,0.914897889670264,77
MLP,NCORQ,0.8950926459293395,0.005916658824458335,0.568128360215054,0.5860753481043502,39
MLP,PCA_YJ,0.8823612711213518,0.006850676934726215,0.675465149769585,NA,3
MLP,NCORR_YJ,0.8736585541474654,0.006968493059025607,0.514593894009217,0.7523930005729198,55
MLP,NCORR_YJ_RFE,0.8803473022273426,0.006713574477800163,0.637889784946237,0.3904798148898408,3
Bag_MLP,NCORR_YJ_RFE,0.8826917722734255,0.00602132899588909,0.571676267281106,0.8915237631338339,8
